carbon_source,exchange_id,reaction_id,reaction_name,subsystem,gpr,off_genes,n_off_genes,wt_flux,flag
Glucose,EX_glc__D_e,ACS,Acetyl-CoA synthetase,Glyoxylate/Acetate,b4069,b4069,1,0.0,applied
Glucose,EX_glc__D_e,RBK,Ribokinase,Other,b3752,b3752,1,0.0,applied
Glucose,EX_glc__D_e,GLYK,Glycerol kinase,Other,b3926,b3926,1,0.0,applied
Glucose,EX_glc__D_e,POX,Pyruvate oxidase,Oxidative phosphorylation,b0871,b0871,1,0.0,applied
Glucose,EX_glc__D_e,TMDPP,Thymidine phosphorylase,Nucleotide metabolism,b4382,b4382,1,0.0,applied
Glucose,EX_glc__D_e,PUNP2,Purine-nucleoside phosphorylase (Deoxyadenosine),Nucleotide metabolism,b4384,b4384,1,0.0,applied
Glucose,EX_glc__D_e,PUNP7,Purine-nucleoside phosphorylase (Xanthosine),Nucleotide metabolism,b2407,b2407,1,0.0,applied
Glucose,EX_glc__D_e,G6PDA,Glucosamine-6-phosphate deaminase,Inorganic ion,b0678,b0678,1,0.0,applied
Glucose,EX_glc__D_e,RMI,L-rhamnose isomerase,Sugar catabolism,b3903,b3903,1,0.0,applied
Glucose,EX_glc__D_e,EDD,6-phosphogluconate dehydratase,Sugar catabolism,b1851,b1851,1,0.0,applied
Glucose,EX_glc__D_e,ASPT,L-aspartase,Amino acid metabolism,b4139,b4139,1,0.0,applied
Glucose,EX_glc__D_e,DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",Other,b0596,b0596,1,0.0,applied
Glucose,EX_glc__D_e,ICHORT,Isochorismatase,Other,b0595,b0595,1,0.0,applied
Glucose,EX_glc__D_e,RBK_L1,L-ribulokinase (L-ribulose),Other,b0063,b0063,1,0.0,applied
Glucose,EX_glc__D_e,GLCRAL,5-dehydro-4-deoxyglucarate aldolase,Other,b3126,b3126,1,0.0,applied
Glucose,EX_glc__D_e,ARGDC,Arginine decarboxylase,Amino acid metabolism,b4117,b4117,1,0.0,applied
Glucose,EX_glc__D_e,UGLT,UDPglucose--hexose-1-phosphate uridylyltransferase,Inorganic ion,b0758,b0758,1,0.0,applied
Glucose,EX_glc__D_e,MNNH,D-mannonate hydrolyase,Other,b4322,b4322,1,0.0,applied
Glucose,EX_glc__D_e,DDGLK,2-dehydro-3-deoxygluconokinase,Other,b3526,b3526,1,0.0,applied
Glucose,EX_glc__D_e,XYLI2,Xylose isomerase,Sugar catabolism,b3565,b3565,1,0.0,applied
Glucose,EX_glc__D_e,ICL,Isocitrate lyase,TCA cycle,b4015,b4015,1,0.0,applied
Glucose,EX_glc__D_e,DMQMT,3-Dimethylubiquinonol 3-methyltransferase,Other,b2232,b2232,1,0.0,applied
Glucose,EX_glc__D_e,UDPG4E,UDPglucose 4-epimerase,Other,b0759,b0759,1,0.0,applied
Glucose,EX_glc__D_e,LACZ,B-galactosidase,Other,b0344,b0344,1,0.0,applied
Glucose,EX_glc__D_e,TRE6PH,Trehalose-6-phosphate hydrolase,Inorganic ion,b4239,b4239,1,0.0,applied
Glucose,EX_glc__D_e,XYLI1,Xylose isomerase,Sugar catabolism,b3565,b3565,1,0.0,applied
Glucose,EX_glc__D_e,ICHORS_copy1,Isochorismate synthase,Other,b0593,b0593,1,0.0,applied
Glucose,EX_glc__D_e,DHPPD,"2,3-dihydroxyphenylpropionate dehydrogenase",Other,b2541,b2541,1,0.0,applied
Glucose,EX_glc__D_e,DHCIND,"2,3-dihydroxycinnamate dehydrogenase",Other,b2541,b2541,1,0.0,applied
Glucose,EX_glc__D_e,OHPHM,2-octaprenyl-6-hydroxyphenol methylase,Other,b2232,b2232,1,0.0,applied
Glucose,EX_glc__D_e,LCARS,"Lacaldehyde reductase (S-propane-1,2-diol forming)",Other,b2799,b2799,1,0.0,applied
Glucose,EX_glc__D_e,RMPA,Rhamnulose-1-phosphate aldolase,Inorganic ion,b3902,b3902,1,0.0,applied
Glucose,EX_glc__D_e,SBTPD,Sorbitol-6-phosphate dehydrogenase,Sugar catabolism,b2705,b2705,1,0.0,applied
Glucose,EX_glc__D_e,GLTPD,Galactitol-1-phosphate dehydrogenase,Inorganic ion,b2091,b2091,1,0.0,applied
Glucose,EX_glc__D_e,MANAO,Mannonate oxidoreductase,Other,b4323,b4323,1,0.0,applied
Glucose,EX_glc__D_e,DDPGALA,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Sugar catabolism,b4477,b4477,1,0.0,applied
Glucose,EX_glc__D_e,GLYAT,Glycine C-acetyltransferase,Amino acid metabolism,b3617,b3617,1,0.0,applied
Glucose,EX_glc__D_e,CRNBTCT,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,Other,b0038,b0038,1,0.0,applied
Glucose,EX_glc__D_e,CRNCBCT,Crotonobetainyl-CoA: carnitine CoA transferase,Other,b0038,b0038,1,0.0,applied
Glucose,EX_glc__D_e,CRNCDH,Carnityl-CoA dehydratse,Other,b0036,b0036,1,0.0,applied
Glucose,EX_glc__D_e,IDOND,L-idonate 5-dehydrogenase,Other,b4267,b4267,1,0.0,applied
Glucose,EX_glc__D_e,IDOND2,L-indonate 5-dehydrogenase (NADP),Other,b4267,b4267,1,0.0,applied
Glucose,EX_glc__D_e,GTPDPK,GTP diphosphokinase,Other,b2784,b2784,1,0.0,applied
Glucose,EX_glc__D_e,ADA,Adenosine deaminase,Other,b1623,b1623,1,0.0,applied
Glucose,EX_glc__D_e,DADA,Deoxyadenosine deaminase,Other,b1623,b1623,1,0.0,applied
Glucose,EX_glc__D_e,AGDC,N-acetylglucosamine-6-phosphate deacetylase,Inorganic ion,b0677,b0677,1,0.0,applied
