substrate,ko_gene,ko_gene_name,ko_type,ko_reaction,rescue_reaction,rescue_rxn_name,match_key,match_type,rescue_source,rescue_layer,rescue_gene_rule,rescued_biomass,wt_biomass,pct_rescue
Maltotriose,b4036,lamB,single,MALTTRtexi,MALTTRtexi,Maltotriose transport via diffusion (extracellular to periplasm) irreversible,direct_restore,direct_restore,no_library_analogue,0,b4036,1.35947,1.35947,100.0
Maltotriose,b4034,malE,single,MALTTRabcpp,MALTTTRabcpp,Maltotetraose transport via ABC system (periplasm),ec:3.6.3,ec,iML1515,1,b4033 and b4032 and b4034 and b4035,1.35947,1.35947,100.0
Maltotriose,b4034,malE,single,MALTTRabcpp,IDONt2rpp,"L-idonate transport via proton symport, reversible (periplasm)",ec:3.6.3,ec,iML1515,1,b4265,1.35947,1.35947,100.0
Maltotriose,b4034,malE,single,MALTTRabcpp,CU2abcpp,Copper (Cu+2) ABC transporter (periplasm),ec:3.6.3,ec,iML1515,1,b3469,1.35947,1.35947,100.0
Maltotriose,b4034,malE,single,MALTTRabcpp,IDONt2r,"L-idonate transport via proton symport, reversible",ec:3.6.3,ec,iJR904,2,b4265,1.35947,1.35947,100.0
Maltotriose,b4034,malE,single,MALTTRabcpp,MALTTRabc,Maltotriose transport via ABC system,ec:3.6.3,ec,iJR904,2,b4032 and b4035 and b4033 and b4036 and b4034,1.35947,1.35947,100.0
Maltotriose,b4034,malE,single,MALTTRabcpp,MALTTTRabc,Maltotetraose transport via ABC system,ec:3.6.3,ec,iJR904,2,b4035 and b4032 and b4033 and b4036 and b4034,1.35947,1.35947,100.0
Maltotriose,b4034,malE,single,MALTTRabcpp,CU2abcu_syn,Copper (Cu+2) ABC transporter (periplasm),ec:3.6.3,ec,universal_model,2,,1.35947,1.35947,100.0
Maltotriose,b4034,malE,single,MALTTRabcpp,CA2abc,Calcium transport via ABC system,ec:3.6.3,ec,universal_model,2,,1.35947,1.35947,100.0
Maltotriose,b4034,malE,single,MALTTRabcpp,Cut1,Copper export via ATPase,ec:3.6.3,ec,universal_model,2,,1.35947,1.35947,100.0
Maltotriose,b4034,malE,single,MALTTRabcpp,CA2abc1pp,Calcium transport via ABC system (periplasm),ec:3.6.3,ec,universal_model,2,,1.35947,1.35947,100.0
Maltotriose,b4034,malE,single,MALTTRabcpp,CA2abcpp,Calcium transport via ABC system (periplasm),ec:3.6.3,ec,universal_model,2,,1.35947,1.35947,100.0
Maltotriose,b4034,malE,single,MALTTRabcpp,CA2abc1,Calcium efflux  via ABC system,ec:3.6.3,ec,universal_model,2,,1.35947,1.35947,100.0
Maltotriose,b2388,glk,single,HEX1,HEX7,Hexokinase (D-fructose:ATP),ec:2.7.1.1,ec,iML1515,1,b0394,1.35947,1.35947,100.0
Maltotriose,b2388,glk,single,HEX1,MNXR73729,kegg:R01139,ec:2.7.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.35947,1.35947,100.0
Maltotriose,b2388,glk,single,HEX1,MNXR59417,kegg:R02868,ec:2.7.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.35947,1.35947,100.0
Maltotriose,b2388,glk,single,HEX1,MNXR84834,kegg:R01140,ec:2.7.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.35947,1.35947,100.0
Maltotriose,b2388,glk,single,HEX1,MNXR73821,kegg:R01964,ec:2.7.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.35947,1.35947,100.0
Maltotriose,b2388,glk,single,HEX1,MNXR15182,kegg:R02865,ec:2.7.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.35947,1.35947,100.0
Maltotriose,b2388,glk,single,HEX1,MNXR73684,kegg:R00725,ec:2.7.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.35947,1.35947,100.0
Maltotriose,b2388,glk,single,HEX1,MNXR73755,kegg:R01327,ec:2.7.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.35947,1.35947,100.0
Maltotriose,b2388,glk,single,HEX1,MNXR59300,kegg:R01965,ec:2.7.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.35947,1.35947,100.0
Maltotriose,b2388,glk,single,HEX1,MNXR11794,metacyc:HEXOKINASE-RXN,ec:2.7.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.35947,1.35947,100.0
Maltotriose,b2388,glk,single,HEX1,MNXR59413,kegg:R02850,ec:2.7.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.35947,1.35947,100.0
Maltotriose,b2388,glk,single,HEX1,MNXR73976,kegg:R02849,ec:2.7.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.35947,1.35947,100.0
Maltotriose,b2388,glk,single,HEX1,MNXR59240,kegg:R01330,ec:2.7.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.35947,1.35947,100.0
Maltotriose,b2388,glk,single,HEX1,MNXR84820,kegg:R00876,ec:2.7.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.35947,1.35947,100.0
Maltotriose,b2388,glk,single,HEX1,MNXR73980,kegg:R02867,ec:2.7.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.35947,1.35947,100.0
