substrate,gene1,gene2,gene3,gene1_name,gene2_name,gene3_name,ko_type,wt_growth
Maltotriose,b0475,b1019,b2431,hemH,efeB,yfeX,triple,1.3595
Maltotriose,b0763,b2425,b3917,modA,cysP,sbp,triple,1.3595
Maltotriose,b0765,b2425,b3917,modC,cysP,sbp,triple,1.3595
Maltotriose,b2502,b2744,b4226,ppx,umpG,ppa,triple,1.3595
Maltotriose,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,1.3595
Maltotriose,b0754,b1704,b2601,aroG,aroH,aroF,triple,1.3595
Maltotriose,b0764,b2425,b3917,modB,cysP,sbp,triple,1.3595
D-Trehalose,b0475,b1019,b2431,hemH,efeB,yfeX,triple,1.1071
D-Trehalose,b0763,b2425,b3917,modA,cysP,sbp,triple,1.1071
D-Trehalose,b0765,b2425,b3917,modC,cysP,sbp,triple,1.1071
D-Trehalose,b2502,b2744,b4226,ppx,umpG,ppa,triple,1.1071
D-Trehalose,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,1.1071
D-Trehalose,b0754,b1704,b2601,aroG,aroH,aroF,triple,1.1071
D-Trehalose,b0764,b2425,b3917,modB,cysP,sbp,triple,1.1071
Maltose,b0475,b1019,b2431,hemH,efeB,yfeX,triple,1.1071
Maltose,b0763,b2425,b3917,modA,cysP,sbp,triple,1.1071
Maltose,b0765,b2425,b3917,modC,cysP,sbp,triple,1.1071
Maltose,b2502,b2744,b4226,ppx,umpG,ppa,triple,1.1071
Maltose,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,1.1071
Maltose,b0754,b1704,b2601,aroG,aroH,aroF,triple,1.1071
Maltose,b0764,b2425,b3917,modB,cysP,sbp,triple,1.1071
Lactose,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.8091
Lactose,b0763,b2425,b3917,modA,cysP,sbp,triple,0.8091
Lactose,b0765,b2425,b3917,modC,cysP,sbp,triple,0.8091
Lactose,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.8091
Lactose,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.8091
Lactose,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.8091
Lactose,b0764,b2425,b3917,modB,cysP,sbp,triple,0.8091
D-Melibiose,b0475,b1019,b2431,hemH,efeB,yfeX,triple,1.0861
D-Melibiose,b0763,b2425,b3917,modA,cysP,sbp,triple,1.0861
D-Melibiose,b0765,b2425,b3917,modC,cysP,sbp,triple,1.0861
D-Melibiose,b2502,b2744,b4226,ppx,umpG,ppa,triple,1.0861
D-Melibiose,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,1.0861
D-Melibiose,b0754,b1704,b2601,aroG,aroH,aroF,triple,1.0861
D-Melibiose,b0764,b2425,b3917,modB,cysP,sbp,triple,1.0861
N-Acetyl-Neuraminic,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.9193
N-Acetyl-Neuraminic,b0763,b2425,b3917,modA,cysP,sbp,triple,0.9193
N-Acetyl-Neuraminic,b0765,b2425,b3917,modC,cysP,sbp,triple,0.9193
N-Acetyl-Neuraminic,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.9193
N-Acetyl-Neuraminic,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.9193
N-Acetyl-Neuraminic,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.9193
N-Acetyl-Neuraminic,b0929,b2215,b4311,ompF,ompC,nanC,triple,0.9193
N-Acetyl-Neuraminic,b0764,b2425,b3917,modB,cysP,sbp,triple,0.9193
Adenosine,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.7942
Adenosine,b0763,b2425,b3917,modA,cysP,sbp,triple,0.7942
Adenosine,b0765,b2425,b3917,modC,cysP,sbp,triple,0.7942
Adenosine,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.7942
Adenosine,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.7942
Adenosine,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.7942
Adenosine,b0764,b2425,b3917,modB,cysP,sbp,triple,0.7942
Glucose-6-Phosphate,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.8689
Glucose-6-Phosphate,b0763,b2425,b3917,modA,cysP,sbp,triple,0.8689
Glucose-6-Phosphate,b0765,b2425,b3917,modC,cysP,sbp,triple,0.8689
Glucose-6-Phosphate,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.8689
Glucose-6-Phosphate,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.8689
Glucose-6-Phosphate,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.8689
Glucose-6-Phosphate,b0764,b2425,b3917,modB,cysP,sbp,triple,0.8689
Fructose-6-Phosphate,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.8689
Fructose-6-Phosphate,b0763,b2425,b3917,modA,cysP,sbp,triple,0.8689
Fructose-6-Phosphate,b0765,b2425,b3917,modC,cysP,sbp,triple,0.8689
Fructose-6-Phosphate,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.8689
Fructose-6-Phosphate,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.8689
Fructose-6-Phosphate,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.8689
Fructose-6-Phosphate,b0764,b2425,b3917,modB,cysP,sbp,triple,0.8689
Inosine,b2393,b2406,b2964,nupC,xapB,nupG,triple,0.845
Inosine,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.845
Inosine,b0763,b2425,b3917,modA,cysP,sbp,triple,0.845
Inosine,b0765,b2425,b3917,modC,cysP,sbp,triple,0.845
Inosine,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.845
Inosine,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.845
Inosine,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.845
Inosine,b0764,b2425,b3917,modB,cysP,sbp,triple,0.845
2-DeoxyAdenosine,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.8327
2-DeoxyAdenosine,b0763,b2425,b3917,modA,cysP,sbp,triple,0.8327
2-DeoxyAdenosine,b0765,b2425,b3917,modC,cysP,sbp,triple,0.8327
2-DeoxyAdenosine,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.8327
2-DeoxyAdenosine,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.8327
2-DeoxyAdenosine,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.8327
2-DeoxyAdenosine,b0764,b2425,b3917,modB,cysP,sbp,triple,0.8327
N-Acetyl-D-Glucosamine,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.8297
N-Acetyl-D-Glucosamine,b0763,b2425,b3917,modA,cysP,sbp,triple,0.8297
N-Acetyl-D-Glucosamine,b0765,b2425,b3917,modC,cysP,sbp,triple,0.8297
N-Acetyl-D-Glucosamine,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.8297
N-Acetyl-D-Glucosamine,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.8297
N-Acetyl-D-Glucosamine,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.8297
N-Acetyl-D-Glucosamine,b0764,b2425,b3917,modB,cysP,sbp,triple,0.8297
Uridine,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.6435
Uridine,b0763,b2425,b3917,modA,cysP,sbp,triple,0.6435
Uridine,b0765,b2425,b3917,modC,cysP,sbp,triple,0.6435
Uridine,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.6435
Uridine,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.6435
Uridine,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.6435
Uridine,b0764,b2425,b3917,modB,cysP,sbp,triple,0.6435
D-Mannose,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.8091
D-Mannose,b0763,b2425,b3917,modA,cysP,sbp,triple,0.8091
D-Mannose,b0765,b2425,b3917,modC,cysP,sbp,triple,0.8091
D-Mannose,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.8091
D-Mannose,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.8091
