substrate,ko_gene1,ko_gene2,ko_gene3,ko_type,ko_reaction,rescue_reaction,rescue_rxn_name,match_key,match_type,rescue_source,rescue_layer,rescue_gene_rule,rescued_biomass,wt_biomass,pct_rescue,n_rescue_variants,n_ko_reactions
2-DeoxyAdenosine,b0475,b1019,b2431,triple,FCLT,FCLT_1; FCLT_2; FCLTm; MNXR70157,rhea:22584; Ferrochelatase  mitochondrial; Ferrochelatase; Heme B synthesis reaction,ec:4.99.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.83273,0.8327,100.0,4,1
2-DeoxyAdenosine,b0754,b1704,b2601,triple,DDPA,DDPA_1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,bigg:DDPA,bigg,universal_model,2,,0.83273,0.8327,100.0,1,1
2-DeoxyAdenosine,b0754,b1704,b2601,triple,DDPA,DDPAm; DPHS; MNXR1486,rhea:14717; 2 deoxy D arabino heptulosonate 7 phosphate synthetase  mitochondrial; 3-deoxy-7-phosphoheptulonate synthase,ec:2.5.1.54,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.83273,0.8327,100.0,3,1
2-DeoxyAdenosine,b0763,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.83273,0.8327,100.0,4,1
2-DeoxyAdenosine,b0764,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.83273,0.8327,100.0,4,1
2-DeoxyAdenosine,b0765,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.83273,0.8327,100.0,4,1
2-DeoxyAdenosine,b0841,b1278,b3057,triple,UDCPDP,UDCPDPex; UDCPDPpp,Undecaprenyl-diphosphatase (periplasm),mnx:MNXR105042,mnx,iML1515; universal_model,1,b1278 or b3057 or b0841,0.83273,0.8327,100.0,2,1
2-DeoxyAdenosine,b2502,b2744,b4226,triple,PPA,IDPh; IDPm; MNXR4373; PPA_1; PPA_1pp; PPAer; PPAm; PPAn; r0009,"rhea:24576; Inorganic diphosphatase; Inorganic diphosphatase (one proton translocation) (periplasm); Inorganic diphosphatase, endoplasmic reticulum; Inorganic diphosphatase, nuclear; Pyrophosphate energized proton pump; Inorganic pyrophosphatase; Pyrophosphate phosphohydrolase EC:3.6.1.1",ec:3.6.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.83273,0.8327,100.0,9,1
5-Keto-D-Gluconate,b0475,b1019,b2431,triple,FCLT,FCLT_1; FCLT_2; FCLTm; MNXR70157,rhea:22584; Ferrochelatase  mitochondrial; Ferrochelatase; Heme B synthesis reaction,ec:4.99.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.72349,0.7235,100.0,4,1
5-Keto-D-Gluconate,b0754,b1704,b2601,triple,DDPA,DDPA_1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,bigg:DDPA,bigg,universal_model,2,,0.72349,0.7235,100.0,1,1
5-Keto-D-Gluconate,b0754,b1704,b2601,triple,DDPA,DDPAm; DPHS; MNXR1486,rhea:14717; 2 deoxy D arabino heptulosonate 7 phosphate synthetase  mitochondrial; 3-deoxy-7-phosphoheptulonate synthase,ec:2.5.1.54,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.72349,0.7235,100.0,3,1
5-Keto-D-Gluconate,b0763,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.72349,0.7235,100.0,4,1
5-Keto-D-Gluconate,b0764,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.72349,0.7235,100.0,4,1
5-Keto-D-Gluconate,b0765,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.72349,0.7235,100.0,4,1
5-Keto-D-Gluconate,b0841,b1278,b3057,triple,UDCPDP,UDCPDPex; UDCPDPpp,Undecaprenyl-diphosphatase (periplasm),mnx:MNXR105042,mnx,iML1515; universal_model,1,b1278 or b3057 or b0841,0.72349,0.7235,100.0,2,1
5-Keto-D-Gluconate,b2502,b2744,b4226,triple,PPA,IDPh; IDPm; MNXR4373; PPA_1; PPA_1pp; PPAer; PPAm; PPAn; r0009,"rhea:24576; Inorganic diphosphatase; Inorganic diphosphatase (one proton translocation) (periplasm); Inorganic diphosphatase, endoplasmic reticulum; Inorganic diphosphatase, nuclear; Pyrophosphate energized proton pump; Inorganic pyrophosphatase; Pyrophosphate phosphohydrolase EC:3.6.1.1",ec:3.6.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.72349,0.7235,100.0,9,1
Adenosine,b0475,b1019,b2431,triple,FCLT,FCLT_1; FCLT_2; FCLTm; MNXR70157,rhea:22584; Ferrochelatase  mitochondrial; Ferrochelatase; Heme B synthesis reaction,ec:4.99.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.7942,0.7942,100.0,4,1
Adenosine,b0754,b1704,b2601,triple,DDPA,DDPA_1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,bigg:DDPA,bigg,universal_model,2,,0.7942,0.7942,100.0,1,1
Adenosine,b0754,b1704,b2601,triple,DDPA,DDPAm; DPHS; MNXR1486,rhea:14717; 2 deoxy D arabino heptulosonate 7 phosphate synthetase  mitochondrial; 3-deoxy-7-phosphoheptulonate synthase,ec:2.5.1.54,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.7942,0.7942,100.0,3,1
Adenosine,b0763,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.7942,0.7942,100.0,4,1
Adenosine,b0764,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.7942,0.7942,100.0,4,1
Adenosine,b0765,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.7942,0.7942,100.0,4,1
Adenosine,b0841,b1278,b3057,triple,UDCPDP,UDCPDPex; UDCPDPpp,Undecaprenyl-diphosphatase (periplasm),mnx:MNXR105042,mnx,iML1515; universal_model,1,b1278 or b3057 or b0841,0.7942,0.7942,100.0,2,1
Adenosine,b2502,b2744,b4226,triple,PPA,IDPh; IDPm; MNXR4373; PPA_1; PPA_1pp; PPAer; PPAm; PPAn; r0009,"rhea:24576; Inorganic diphosphatase; Inorganic diphosphatase (one proton translocation) (periplasm); Inorganic diphosphatase, endoplasmic reticulum; Inorganic diphosphatase, nuclear; Pyrophosphate energized proton pump; Inorganic pyrophosphatase; Pyrophosphate phosphohydrolase EC:3.6.1.1",ec:3.6.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.7942,0.7942,100.0,9,1
D-Alanine,b0475,b1019,b2431,triple,FCLT,FCLT_1; FCLT_2; FCLTm; MNXR70157,rhea:22584; Ferrochelatase  mitochondrial; Ferrochelatase; Heme B synthesis reaction,ec:4.99.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.36994,0.3699,100.0,4,1
D-Alanine,b0754,b1704,b2601,triple,DDPA,DDPA_1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,bigg:DDPA,bigg,universal_model,2,,0.36994,0.3699,100.0,1,1
D-Alanine,b0754,b1704,b2601,triple,DDPA,DDPAm; DPHS; MNXR1486,rhea:14717; 2 deoxy D arabino heptulosonate 7 phosphate synthetase  mitochondrial; 3-deoxy-7-phosphoheptulonate synthase,ec:2.5.1.54,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.36994,0.3699,100.0,3,1
D-Alanine,b0763,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.36994,0.3699,100.0,4,1
D-Alanine,b0764,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.36994,0.3699,100.0,4,1
D-Alanine,b0765,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.36994,0.3699,100.0,4,1
D-Alanine,b0841,b1278,b3057,triple,UDCPDP,UDCPDPex; UDCPDPpp,Undecaprenyl-diphosphatase (periplasm),mnx:MNXR105042,mnx,iML1515; universal_model,1,b1278 or b3057 or b0841,0.36994,0.3699,100.0,2,1
